batting_team,batsman,Total_Runs,No_Of_Innings,Batting_Average
Delhi Daredevils,MK Tiwary,322.0,12,26.833333333333332
Delhi Daredevils,MS Wade,22.0,3,7.333333333333333
Delhi Daredevils,Mohammad Asif,3.0,1,3.0
Delhi Daredevils,Mohammed Shami,5.0,1,5.0
Delhi Daredevils,NM Coulter-Nile,29.0,3,9.666666666666666
Delhi Daredevils,NV Ojha,424.0,25,16.96
Delhi Daredevils,P Negi,93.0,5,18.6
Delhi Daredevils,PD Collingwood,203.0,4,50.75
Delhi Daredevils,PJ Sangwan,18.0,2,9.0
Delhi Daredevils,Q de Kock,720.0,20,36.0
Delhi Daredevils,R Bhatia,66.0,8,8.25
Delhi Daredevils,R Shukla,18.0,2,9.0
Delhi Daredevils,RE van der Merwe,36.0,3,12.0
Delhi Daredevils,RR Pant,198.0,7,28.285714285714285
Delhi Daredevils,S Dhawan,340.0,10,34.0
Delhi Daredevils,S Ladda,0.0,1,0.0
Delhi Daredevils,S Nadeem,24.0,8,3.0
Delhi Daredevils,S Sriram,4.0,1,4.0
Delhi Daredevils,SS Iyer,469.0,18,26.055555555555557
Delhi Daredevils,SV Samson,291.0,10,29.1
Delhi Daredevils,SW Billings,88.0,4,22.0
Delhi Daredevils,Shoaib Malik,52.0,4,13.0
Delhi Daredevils,TM Dilshan,566.0,18,31.444444444444443
Delhi Daredevils,TR Birt,75.0,5,15.0
Delhi Daredevils,UBT Chand,196.0,11,17.818181818181817
Delhi Daredevils,UT Yadav,44.0,4,11.0
Delhi Daredevils,V Sehwag,2174.0,69,31.507246376811594
Delhi Daredevils,VR Aaron,1.0,1,1.0
Delhi Daredevils,VY Mahesh,15.0,2,7.5
Delhi Daredevils,WD Parnell,2.0,1,2.0
Delhi Daredevils,Y Nagar,285.0,11,25.90909090909091
Delhi Daredevils,Y Venugopal Rao,468.0,17,27.529411764705884
Delhi Daredevils,Yuvraj Singh,248.0,13,19.076923076923077
Delhi Daredevils,Z Khan,6.0,2,3.0
Gujarat Lions,AD Nath,20.0,3,6.666666666666667
Gujarat Lions,AJ Finch,393.0,8,49.125
Gujarat Lions,BB McCullum,354.0,16,22.125
Gujarat Lions,DJ Bravo,99.0,7,14.142857142857142
Gujarat Lions,DR Smith,324.0,10,32.4
Gujarat Lions,DS Kulkarni,27.0,2,13.5
Gujarat Lions,DW Steyn,1.0,1,1.0
