match_id,batting_team,bowling_team,batsman,Balls_Played,Total_Runs
475,Mumbai Indians,Royal Challengers Bangalore,UBT Chand,40,58
482,Sunrisers Hyderabad,Mumbai Indians,NV Ojha,9,9
499,Rajasthan Royals,Sunrisers Hyderabad,KK Nair,11,4
511,Rajasthan Royals,Kolkata Knight Riders,JP Faulkner,6,6
515,Rajasthan Royals,Royal Challengers Bangalore,AM Rahane,40,42
551,Gujarat Lions,Sunrisers Hyderabad,BB McCullum,21,7
558,Royal Challengers Bangalore,Mumbai Indians,SR Watson,14,15
568,Gujarat Lions,Kolkata Knight Riders,KD Karthik,8,12
577,Royal Challengers Bangalore,Sunrisers Hyderabad,CJ Jordan,4,3
58,Chennai Super Kings,Rajasthan Royals,SK Raina,30,43
85,Deccan Chargers,Chennai Super Kings,Y Venugopal Rao,6,2
104,Deccan Chargers,Kolkata Knight Riders,HH Gibbs,34,28
122,Kings XI Punjab,Royal Challengers Bangalore,Yuvraj Singh,6,9
131,Kings XI Punjab,Chennai Super Kings,Yuvraj Singh,30,47
132,Mumbai Indians,Kolkata Knight Riders,SR Tendulkar,52,71
138,Royal Challengers Bangalore,Delhi Daredevils,EJG Morgan,14,17
14,Delhi Daredevils,Kings XI Punjab,G Gambhir,14,18
152,Mumbai Indians,Chennai Super Kings,Harbhajan Singh,24,33
157,Chennai Super Kings,Deccan Chargers,DE Bollinger,3,2
159,Delhi Daredevils,Kings XI Punjab,DA Warner,11,6
162,Delhi Daredevils,Mumbai Indians,PD Collingwood,5,2
173,Chennai Super Kings,Deccan Chargers,M Vijay,11,15
200,Delhi Daredevils,Kings XI Punjab,Y Nagar,10,11
226,Rajasthan Royals,Chennai Super Kings,AS Raut,14,19
230,Chennai Super Kings,Delhi Daredevils,SK Raina,10,14
250,Kolkata Knight Riders,Delhi Daredevils,BB McCullum,8,9
269,Deccan Chargers,Rajasthan Royals,KC Sangakkara,36,44
276,Delhi Daredevils,Pune Warriors,P Negi,8,8
277,Kings XI Punjab,Mumbai Indians,SE Marsh,43,68
284,Chennai Super Kings,Kings XI Punjab,R Ashwin,3,7
292,Mumbai Indians,Pune Warriors,RG Sharma,5,3
300,Kings XI Punjab,Deccan Chargers,SD Chitnis,5,6
307,Kings XI Punjab,Deccan Chargers,Azhar Mahmood,20,31
345,Chennai Super Kings,Delhi Daredevils,SK Raina,32,30
35,Royal Challengers Bangalore,Kings XI Punjab,P Kumar,7,5
352,Pune Warriors,Royal Challengers Bangalore,MR Marsh,24,24
359,Chennai Super Kings,Kolkata Knight Riders,MEK Hussey,59,95
370,Kings XI Punjab,Royal Challengers Bangalore,DA Miller,4,2
384,Delhi Daredevils,Kings XI Punjab,KM Jadhav,3,0
4,Mumbai Indians,Royal Challengers Bangalore,SM Pollock,12,28
400,Delhi Daredevils,Royal Challengers Bangalore,M Vijay,21,18
418,Mumbai Indians,Sunrisers Hyderabad,RG Sharma,5,1
433,Royal Challengers Bangalore,Rajasthan Royals,V Kohli,9,4
437,Sunrisers Hyderabad,Kings XI Punjab,AJ Finch,25,20
454,Mumbai Indians,Rajasthan Royals,AP Tare,1,6
456,Mumbai Indians,Chennai Super Kings,AP Tare,1,0
485,Sunrisers Hyderabad,Kings XI Punjab,GH Vihari,8,9
495,Royal Challengers Bangalore,Chennai Super Kings,MA Starc,7,1
509,Royal Challengers Bangalore,Sunrisers Hyderabad,AB de Villiers,1,0
530,Kolkata Knight Riders,Kings XI Punjab,MK Pandey,11,12
533,Royal Challengers Bangalore,Rising Pune Supergiants,KL Rahul,10,7
542,Rising Pune Supergiants,Gujarat Lions,NLTC Perera,2,3
544,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,3,2
559,Sunrisers Hyderabad,Delhi Daredevils,DA Warner,31,46
563,Kings XI Punjab,Sunrisers Hyderabad,HM Amla,56,96
564,Delhi Daredevils,Mumbai Indians,Q de Kock,29,40
574,Gujarat Lions,Royal Challengers Bangalore,AJ Finch,6,4
61,Kings XI Punjab,Delhi Daredevils,Yuvraj Singh,12,16
71,Rajasthan Royals,Kings XI Punjab,RA Jadeja,44,37
82,Delhi Daredevils,Chennai Super Kings,PJ Sangwan,3,0
104,Deccan Chargers,Kolkata Knight Riders,A Symonds,13,18
11,Royal Challengers Bangalore,Rajasthan Royals,MV Boucher,10,4
121,Delhi Daredevils,Rajasthan Royals,KD Karthik,27,23
125,Rajasthan Royals,Royal Challengers Bangalore,MM Patel,2,0
134,Rajasthan Royals,Kings XI Punjab,MJ Lumb,30,41
162,Delhi Daredevils,Mumbai Indians,G Gambhir,9,17
165,Chennai Super Kings,Delhi Daredevils,ML Hayden,5,1
168,Kolkata Knight Riders,Rajasthan Royals,SC Ganguly,54,75
189,Chennai Super Kings,Royal Challengers Bangalore,SK Raina,17,29
194,Delhi Daredevils,Deccan Chargers,AJ Finch,1,0
208,Mumbai Indians,Rajasthan Royals,RG Sharma,22,13
21,Deccan Chargers,Royal Challengers Bangalore,HH Gibbs,36,47
215,Kochi Tuskers Kerala,Delhi Daredevils,PA Patel,34,37
22,Kings XI Punjab,Kolkata Knight Riders,PP Chawla,7,21
234,Kings XI Punjab,Delhi Daredevils,SE Marsh,28,46
301,Mumbai Indians,Royal Challengers Bangalore,DR Smith,3,2
301,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,4,0
308,Royal Challengers Bangalore,Mumbai Indians,R Vinay Kumar,2,1
320,Mumbai Indians,Chennai Super Kings,KD Karthik,4,6
323,Delhi Daredevils,Kolkata Knight Riders,IK Pathan,7,4
328,Pune Warriors,Kings XI Punjab,TL Suman,14,6
337,Chennai Super Kings,Royal Challengers Bangalore,MEK Hussey,16,6
339,Kings XI Punjab,Rajasthan Royals,Mandeep Singh,9,2
35,Kings XI Punjab,Royal Challengers Bangalore,JR Hopes,19,27
351,Chennai Super Kings,Rajasthan Royals,CH Morris,1,1
355,Sunrisers Hyderabad,Chennai Super Kings,A Mishra,21,15
36,Delhi Daredevils,Kolkata Knight Riders,MF Maharoof,12,10
38,Rajasthan Royals,Kings XI Punjab,YK Pathan,15,39
381,Kings XI Punjab,Sunrisers Hyderabad,SE Marsh,20,18
385,Mumbai Indians,Sunrisers Hyderabad,AT Rayudu,5,2
397,Rajasthan Royals,Mumbai Indians,KK Cooper,2,4
435,Rajasthan Royals,Chennai Super Kings,SPD Smith,8,9
443,Kings XI Punjab,Delhi Daredevils,R Dhawan,5,8
446,Kings XI Punjab,Mumbai Indians,SE Marsh,18,30
448,Chennai Super Kings,Sunrisers Hyderabad,MS Dhoni,42,57
465,Mumbai Indians,Kings XI Punjab,RG Sharma,2,0
481,Rajasthan Royals,Royal Challengers Bangalore,DJ Hooda,4,1
492,Sunrisers Hyderabad,Chennai Super Kings,NV Ojha,13,20
496,Sunrisers Hyderabad,Kolkata Knight Riders,DW Steyn,1,1
50,Mumbai Indians,Delhi Daredevils,AM Nayar,3,1
503,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,13,13
505,Sunrisers Hyderabad,Kings XI Punjab,NV Ojha,3,2
538,Mumbai Indians,Kings XI Punjab,JC Buttler,14,24
538,Mumbai Indians,Kings XI Punjab,KA Pollard,9,10
541,Kolkata Knight Riders,Mumbai Indians,SA Yadav,17,21
577,Sunrisers Hyderabad,Royal Challengers Bangalore,DA Warner,39,69
66,Delhi Daredevils,Chennai Super Kings,MK Tiwary,13,9
71,Rajasthan Royals,Kings XI Punjab,GC Smith,8,2
79,Kolkata Knight Riders,Mumbai Indians,CH Gayle,7,7
100,Chennai Super Kings,Royal Challengers Bangalore,ML Hayden,39,60
114,Chennai Super Kings,Royal Challengers Bangalore,PA Patel,27,36
121,Rajasthan Royals,Delhi Daredevils,GC Smith,18,18
124,Mumbai Indians,Delhi Daredevils,AT Rayudu,22,34
131,Kings XI Punjab,Chennai Super Kings,J Theron,2,0
138,Delhi Daredevils,Royal Challengers Bangalore,KM Jadhav,32,50
140,Deccan Chargers,Mumbai Indians,RG Sharma,30,45
153,Kings XI Punjab,Rajasthan Royals,KC Sangakkara,8,9
167,Mumbai Indians,Royal Challengers Bangalore,SR Tendulkar,19,19
168,Rajasthan Royals,Kolkata Knight Riders,SK Trivedi,2,4
170,Deccan Chargers,Delhi Daredevils,R Sharma,8,14
171,Kolkata Knight Riders,Mumbai Indians,SC Ganguly,36,42
172,Royal Challengers Bangalore,Mumbai Indians,LRPL Taylor,32,31
173,Chennai Super Kings,Deccan Chargers,SK Raina,4,2
179,Mumbai Indians,Delhi Daredevils,AT Rayudu,16,14
182,Rajasthan Royals,Delhi Daredevils,AL Menaria,15,22
224,Royal Challengers Bangalore,Kochi Tuskers Kerala,TM Dilshan,31,52
231,Kings XI Punjab,Kochi Tuskers Kerala,PC Valthaty,10,17
231,Kochi Tuskers Kerala,Kings XI Punjab,R Vinay Kumar,1,1
25,Royal Challengers Bangalore,Kings XI Punjab,V Kohli,39,34
292,Pune Warriors,Mumbai Indians,RV Uthappa,19,18
303,Pune Warriors,Royal Challengers Bangalore,RV Uthappa,23,38
316,Pune Warriors,Kolkata Knight Riders,AP Majumdar,22,17
36,Delhi Daredevils,Kolkata Knight Riders,AB de Villiers,12,7
369,Sunrisers Hyderabad,Delhi Daredevils,A Ashish Reddy,7,5
380,Pune Warriors,Mumbai Indians,AM Nayar,14,11
389,Kings XI Punjab,Royal Challengers Bangalore,DA Miller,39,101
395,Chennai Super Kings,Mumbai Indians,SK Raina,42,82
404,Delhi Daredevils,Kolkata Knight Riders,MA Agarwal,15,26
422,Royal Challengers Bangalore,Sunrisers Hyderabad,PA Patel,5,3
426,Delhi Daredevils,Kolkata Knight Riders,KP Pietersen,12,6
431,Mumbai Indians,Chennai Super Kings,RG Sharma,19,19
458,Kolkata Knight Riders,Kings XI Punjab,MK Pandey,52,94
469,Delhi Daredevils,Kings XI Punjab,MA Agarwal,51,68
478,Kolkata Knight Riders,Sunrisers Hyderabad,MK Pandey,24,33
482,Sunrisers Hyderabad,Mumbai Indians,S Dhawan,30,42
483,Kings XI Punjab,Chennai Super Kings,Anureet Singh,20,10
50,Delhi Daredevils,Mumbai Indians,KD Karthik,32,56
515,Royal Challengers Bangalore,Rajasthan Royals,KD Karthik,3,8
521,Sunrisers Hyderabad,Royal Challengers Bangalore,A Ashish Reddy,18,32
529,Sunrisers Hyderabad,Mumbai Indians,EJG Morgan,12,11
537,Kolkata Knight Riders,Rising Pune Supergiants,PP Chawla,5,8
565,Kolkata Knight Riders,Royal Challengers Bangalore,SA Yadav,5,5
568,Gujarat Lions,Kolkata Knight Riders,RA Jadeja,10,11
573,Royal Challengers Bangalore,Delhi Daredevils,KL Rahul,23,38
575,Sunrisers Hyderabad,Kolkata Knight Riders,DJ Hooda,13,21
97,Royal Challengers Bangalore,Kolkata Knight Riders,LRPL Taylor,33,81
111,Delhi Daredevils,Mumbai Indians,TM Dilshan,15,24
113,Delhi Daredevils,Deccan Chargers,KD Karthik,9,9
122,Kings XI Punjab,Royal Challengers Bangalore,RS Bopara,53,77
134,Rajasthan Royals,Kings XI Punjab,NV Ojha,10,13
189,Royal Challengers Bangalore,Chennai Super Kings,AB de Villiers,45,65
196,Kolkata Knight Riders,Kochi Tuskers Kerala,EJG Morgan,12,10
